,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Rikitea,0,PF,1551580080,100,-23.12,-134.97,79.27,11.23
1,Tiburon,90,US,1551580386,100,37.87,-122.46,57.2,3.4
2,Jamestown,24,AU,1551579946,19,-33.21,138.6,96.82,11.79
3,Coquimbo,75,CL,1551574800,82,-29.95,-71.34,62.6,6.93
4,Lagoa,0,PT,1551579872,87,37.14,-8.45,54.0,2.24
5,Xiantao,0,CN,1551580389,93,30.37,113.44,50.74,4.85
6,Hobart,75,AU,1551579315,77,-42.88,147.33,71.01,8.05
7,Hithadhoo,24,MV,1551579521,100,-0.6,73.08,82.74,16.15
8,Ushuaia,40,AR,1551574800,71,-54.81,-68.31,50.0,11.41
9,Asosa,80,ET,1551580389,33,10.07,34.53,60.82,4.52
10,Punta Arenas,75,CL,1551579786,81,-53.16,-70.91,50.0,5.82
11,Talnakh,80,RU,1551579688,88,69.49,88.39,16.63,21.07
12,Tasiilaq,80,GL,1551577800,85,65.61,-37.64,17.6,2.24
13,Longyearbyen,40,NO,1551577800,77,78.22,15.63,1.4,8.05
14,Bambous Virieux,75,MU,1551579846,88,-20.34,57.76,80.6,11.41
15,Phalombe,92,MW,1551580390,98,-15.81,35.65,69.19,3.51
16,Cayenne,92,GF,1551578400,88,4.94,-52.33,77.0,2.24
17,Ambikapur,12,IN,1551580390,54,23.12,83.2,65.77,3.96
18,Changji,56,CN,1551580390,88,32.07,116.17,49.12,4.63
19,Mizdah,0,LY,1551580391,78,31.45,12.98,37.11,3.96
20,Erzin,75,TR,1551577800,100,36.95,36.2,52.0,5.82
21,Constantine,20,DZ,1551578400,93,36.36,6.61,35.6,2.17
22,Nemuro,0,JP,1551578400,59,43.32,145.57,33.8,10.29
23,Russell,0,AR,1551578400,38,-33.01,-68.8,75.2,3.36
24,Noyabrsk,88,RU,1551580391,91,63.2,75.45,21.76,8.66
25,Bluff,76,AU,1551580087,39,-23.58,149.07,88.81,14.03
26,Husavik,36,CA,1551579844,73,50.56,-96.99,-9.01,5.01
27,Mataura,0,NZ,1551579006,67,-46.19,168.86,66.99,14.0
28,Vaini,0,IN,1551578400,59,15.34,74.49,62.6,1.72
29,Sakaraha,100,MG,1551580392,89,-22.91,44.53,71.26,2.62
30,Mahebourg,75,MU,1551579846,88,-20.41,57.7,80.6,11.41
31,New Norfolk,56,AU,1551580094,73,-42.78,147.06,71.6,5.82
32,Atuona,0,PF,1551580091,100,-9.8,-139.03,81.52,8.88
33,Tuatapere,0,NZ,1551579606,67,-46.13,167.69,66.99,15.99
34,Chumikan,20,RU,1551580392,65,54.72,135.31,22.84,2.39
35,Chara,40,GR,1551577800,40,39.42,22.43,51.8,12.75
36,Kodiak,90,US,1551580030,52,39.95,-94.76,25.0,19.46
37,Thompson,90,CA,1551578400,63,55.74,-97.86,-9.41,8.05
38,Khatanga,0,RU,1551580083,43,71.98,102.47,-14.69,2.84
39,Lavrentiya,92,RU,1551580085,97,65.58,-170.99,23.92,6.76
40,Binga,8,ZW,1551580393,75,-17.62,27.34,75.9,4.41
41,Port Elizabeth,1,US,1551579764,86,39.31,-74.98,37.99,4.7
42,Burnie,92,AU,1551580064,86,-41.05,145.91,72.0,4.0
43,Castro,76,CL,1551578400,87,-42.48,-73.76,50.0,3.36
44,Kyzyl-Suu,88,KG,1551580394,100,42.34,78.0,26.85,4.97
45,Pisco,0,PE,1551578400,78,-13.71,-76.2,73.4,16.11
46,Oudtshoorn,0,ZA,1551578400,82,-33.59,22.2,64.4,3.36
47,Salalah,75,OM,1551577800,24,17.01,54.1,78.8,8.05
48,Ilulissat,88,GL,1551577800,78,69.22,-51.1,15.8,8.05
49,Leh,76,IN,1551580394,83,34.16,77.58,-0.29,0.49
50,Millet,20,CA,1551580250,57,53.09,-113.47,-5.01,4.7
51,Paso de los Toros,0,UY,1551580394,88,-32.81,-56.52,59.92,8.88
52,Inirida,36,CO,1551580395,96,3.87,-67.92,74.41,1.95
53,Port Maria,20,JM,1551578400,54,18.37,-76.89,78.8,10.29
54,Tuktoyaktuk,20,CA,1551578400,64,69.44,-133.03,-0.41,14.99
55,Busselton,0,AU,1551580027,30,-33.64,115.35,80.01,9.66
56,Kavieng,32,PG,1551579985,100,-2.57,150.8,83.82,3.96
57,Mali,0,CN,1551580236,11,27.53,102.2,71.01,2.06
58,Kapaa,1,US,1551579808,57,22.08,-159.32,77.0,17.22
59,Santiago del Estero,88,AR,1551580395,79,-27.8,-64.26,77.16,3.85
60,Kota Tinggi,75,MY,1551578400,78,1.73,103.9,84.2,8.05
61,Celestun,20,MX,1551580396,85,20.87,-90.4,82.29,11.23
62,Sri Aman,75,MY,1551578400,83,1.24,111.46,80.6,2.95
63,Yellowknife,20,CA,1551579765,58,62.45,-114.38,-5.01,4.7
64,Yinchuan,0,CN,1551580396,52,38.48,106.21,45.75,3.62
65,Cape Town,0,ZA,1551579767,93,-33.93,18.42,68.0,5.82
66,Mar del Plata,0,AR,1551580098,57,-46.43,-67.52,61.86,15.48
67,Tabuk,0,PH,1551580396,50,17.41,121.44,79.41,1.83
68,Khani,90,GE,1551578400,100,41.96,42.96,42.8,13.87
69,Torbay,5,CA,1551579440,73,47.66,-52.73,23.0,11.41
70,Kaitangata,0,NZ,1551579980,69,-46.28,169.85,70.59,4.85
71,Mayo,5,CA,1551578400,34,63.59,-135.9,17.6,5.82
72,Avarua,0,CK,1551576600,79,-21.21,-159.78,86.0,12.75
73,Victoria,75,BN,1551576600,78,5.28,115.24,84.2,3.18
74,Carnarvon,0,ZA,1551580094,76,-30.97,22.13,53.17,3.29
75,Broken Hill,0,AU,1551574800,15,-31.97,141.45,93.2,9.17
76,Ribeira Grande,32,PT,1551580087,99,38.52,-28.7,59.7,24.54
77,Puerto Ayora,20,EC,1551579938,100,-0.74,-90.35,82.24,6.64
78,Port Lincoln,0,AU,1551580057,70,-34.72,135.86,74.64,13.69
79,Zaysan,0,KZ,1551580398,57,47.47,84.87,17.08,2.39
80,Chokurdakh,68,RU,1551579489,67,70.62,147.9,-9.34,16.37
81,Esso,32,RU,1551580398,77,55.93,158.7,7.95,2.95
82,Port Alfred,44,ZA,1551579444,79,-33.59,26.89,66.99,1.99
83,Dikson,48,RU,1551579968,82,73.51,80.55,-5.47,3.29
84,Makakilo City,40,US,1551579959,60,21.35,-158.09,78.8,13.87
85,Saint-Joseph,0,FR,1551580271,81,43.56,6.97,50.0,4.7
86,Gizo,40,IL,1551580091,58,31.8,34.94,53.6,6.93
87,Awjilah,0,LY,1551580398,89,29.14,21.3,47.32,8.55
88,Laguna,75,MX,1551577200,46,27.52,-110.01,69.8,3.36
89,Ketchikan,1,US,1551578160,29,55.34,-131.65,35.6,16.11
90,Necochea,0,AR,1551580297,86,-38.55,-58.74,57.99,2.84
91,Antofagasta,75,CL,1551574800,82,-23.65,-70.4,66.2,11.41
92,Rome,0,IT,1551580084,93,41.89,12.48,51.01,5.82
93,Arraial do Cabo,75,BR,1551574800,88,-22.97,-42.02,77.0,5.82
94,Butaritari,76,KI,1551580089,100,3.07,172.79,82.69,16.71
95,Bambanglipuro,56,ID,1551580107,96,-7.95,110.28,80.53,4.18
96,Tiksi,8,RU,1551579972,53,71.64,128.87,-10.64,5.41
97,Vestmannaeyjar,0,IS,1551580016,100,63.44,-20.27,30.49,8.99
98,Kalmunai,100,LK,1551580148,100,7.42,81.82,75.9,4.07
99,Saskylakh,48,RU,1551580092,51,71.97,114.09,-18.11,2.95
100,Marsa Matruh,75,EG,1551574800,54,31.35,27.25,59.0,6.93
101,Pevek,0,RU,1551580087,72,69.7,170.27,-6.41,6.64
102,Narsaq,20,GL,1551577800,46,60.91,-46.05,28.4,8.05
103,Iskateley,64,RU,1551580299,79,67.68,53.15,10.2,13.8
104,Saint-Philippe,90,CA,1551580096,63,45.36,-73.48,28.0,5.82
105,Rocha,0,UY,1551580400,84,-34.48,-54.34,58.66,6.64
106,Andilamena,68,MG,1551580400,96,-17.01,48.57,66.94,5.75
107,Honiara,12,SB,1551580136,55,-9.43,159.96,88.95,4.74
108,Mendi,88,ET,1551580401,46,9.8,35.1,59.16,2.62
109,Barrow,0,AR,1551580084,87,-38.31,-60.23,53.53,6.42
110,Zhigansk,24,RU,1551580401,66,66.77,123.37,-4.34,4.07
111,Saldanha,12,PT,1551580121,78,41.42,-6.55,36.16,5.64
112,Lebu,0,ET,1551574800,67,8.96,38.73,59.0,2.24
113,Cranbrook,5,CA,1551578400,42,49.51,-115.76,6.8,2.24
114,Pervomayskoye,0,RU,1551580402,100,57.07,86.23,16.14,5.53
115,Norman Wells,5,CA,1551578400,50,65.28,-126.83,5.0,4.7
