,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Nikolskoye,75,RU,1551577819,73,59.7,30.79,24.8,22.37
1,Tasiilaq,80,GL,1551574200,92,65.61,-37.64,14.0,1.12
2,Atuona,0,PF,1551577832,100,-9.8,-139.03,81.52,8.88
3,Albany,90,US,1551577750,69,42.65,-73.75,34.0,4.7
4,Kodiak,90,US,1551577788,52,39.95,-94.76,26.01,11.41
5,Atar,0,MR,1551577832,28,20.52,-13.05,55.51,7.31
6,Kaitangata,0,NZ,1551577667,69,-46.28,169.85,70.59,4.85
7,Busselton,0,AU,1551577811,32,-33.64,115.35,78.01,9.66
8,Ihosy,88,MG,1551577833,93,-22.4,46.13,66.13,2.84
9,Jamestown,24,AU,1551577834,19,-33.21,138.6,96.82,11.79
10,Hermanus,24,ZA,1551577571,88,-34.42,19.24,66.0,3.06
11,Pitimbu,20,BR,1551574800,94,-7.47,-34.81,77.0,2.24
12,Arraial do Cabo,75,BR,1551574800,88,-22.97,-42.02,77.0,5.82
13,Touros,40,BR,1551574800,94,-5.2,-35.46,77.0,2.24
14,East London,92,ZA,1551577834,100,-33.02,27.91,70.09,4.52
15,Castro,20,CL,1551574800,87,-42.48,-73.76,51.8,6.93
16,Barrow,0,AR,1551577835,87,-38.31,-60.23,53.53,6.42
17,San Luis,80,AR,1551577835,58,-33.3,-66.34,71.71,6.42
18,Grindavik,0,IS,1551577155,80,63.84,-22.43,30.2,14.99
19,Akdepe,40,TM,1551574800,92,42.05,59.39,33.8,4.7
20,Port Elizabeth,1,US,1551577832,72,39.31,-74.98,37.99,4.7
21,Nanortalik,20,GL,1551577836,96,60.14,-45.24,28.33,2.62
22,Qaanaaq,0,GL,1551577836,71,77.48,-69.36,5.56,18.72
23,Severo-Kurilsk,12,RU,1551577836,100,50.68,156.12,26.94,14.7
24,Paracatu,92,BR,1551577836,95,-17.22,-46.87,71.71,3.06
25,Punta Arenas,75,CL,1551577386,81,-53.16,-70.91,50.0,5.82
26,Solnechnyy,0,RU,1551577837,64,50.72,136.64,26.85,3.62
